,fi,en,ru,it,sv,ja,pt,es,fr,nl,de,cs,id,zh,vi,th,fa,pl,et,tr,hu,lv,no,la,uk,ko,eo,is,lt,ar,da,ceb,he,ca,nds,el,sr,lang_count,park_id,users,posts
1867,885.0,165.0,52.0,12.0,36.0,6.0,3.0,9.0,14.0,4.0,34.0,,1.0,,,1.0,,1.0,1.0,2.0,,1.0,2.0,,,,,1.0,,,2.0,5.0,,,1.0,,,22,1867,865,1263
1868,2.0,1.0,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1868,8,8
1869,278.0,56.0,20.0,2.0,15.0,1.0,2.0,1.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,10,1869,263,381
1871,125.0,22.0,1.0,1.0,1.0,,,3.0,,,4.0,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,9,1871,130,169
1873,2625.0,457.0,180.0,32.0,134.0,75.0,23.0,31.0,24.0,6.0,48.0,1.0,1.0,4.0,4.0,1.0,2.0,7.0,3.0,6.0,2.0,1.0,3.0,5.0,,70.0,9.0,1.0,1.0,3.0,2.0,4.0,1.0,,,,,32,1873,2826,3848
1874,15.0,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4,1874,17,19
1875,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1875,3,4
1876,29.0,3.0,2.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1876,37,39
1877,200.0,31.0,25.0,1.0,12.0,1.0,,2.0,3.0,,1.0,,,,,,2.0,4.0,,,,,,,,1.0,,,,,1.0,,,,,,,13,1877,227,288
1878,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1878,1,2
1879,31.0,10.0,4.0,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,6,1879,48,49
1881,22.0,5.0,3.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1881,33,34
1884,456.0,99.0,33.0,3.0,42.0,4.0,2.0,6.0,7.0,1.0,4.0,,2.0,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,1.0,2.0,,,1.0,,,19,1884,497,678
1885,563.0,67.0,17.0,4.0,18.0,4.0,3.0,8.0,6.0,2.0,4.0,,1.0,,,1.0,,,,,,,2.0,,,1.0,,,,,,2.0,,,,,1.0,17,1885,551,707
1886,119.0,39.0,3.0,27.0,1.0,,53.0,5.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,8,1886,100,253
1887,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1887,1,3
1889,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1889,1,4
1890,20.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1890,21,34
1892,173.0,14.0,6.0,4.0,4.0,7.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1892,117,212
1893,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1893,5,9
1895,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1895,3,3
1896,139.0,10.0,,,22.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,5,1896,116,173
1897,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1897,5,6
1898,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1898,5,10
1899,8.0,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1899,12,13
1900,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1900,2,2
1902,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1902,2,2
1903,23.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1903,21,25
1909,341.0,21.0,3.0,4.0,32.0,1.0,,,,,1.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,8,1909,161,408
1911,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1911,3,5
1913,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1913,5,5
1915,660.0,96.0,34.0,4.0,43.0,15.0,2.0,22.0,8.0,,7.0,,,,1.0,1.0,,5.0,,4.0,,,,,,3.0,,,,1.0,5.0,,,,,,,17,1915,593,918
1916,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1916,1,1
1918,548.0,79.0,14.0,3.0,63.0,7.0,,3.0,4.0,,,,,,2.0,,,,1.0,1.0,,2.0,,7.0,1.0,4.0,,,,,,,,,2.0,,,16,1918,468,751
1919,17.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1919,13,23
1920,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1920,5,6
1939,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1939,3,3
1940,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1940,13,18
1941,29.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3,1941,13,31
